"","cell","celltype"
"451","BC05_52","Tumor"
"452","BC05_53","Tumor"
"453","BC05_55","Tumor"
"454","BC05_57","Tumor"
"455","BC05_59","Tumor"
"456","BC05_60","Tumor"
"457","BC05_61","Tumor"
"458","BC05_62","Tumor"
"459","BC05_63","Tumor"
"460","BC05_64","Tumor"
"461","BC05_68","Tumor"
"462","BC05_69","Tumor"
"463","BC05_70","Tumor"
"464","BC05_71","Tumor"
"465","BC05_72","Tumor"
"466","BC05_73","Tumor"
"467","BC05_74","Stromal"
"468","BC05_75","Tumor"
"469","BC05_77","Tumor"
"470","BC05_78","Tumor"
"471","BC05_79","Tumor"
"472","BC05_80","Tumor"
"473","BC05_81","Tumor"
"474","BC05_83","Tumor"
"475","BC05_84","Tumor"
"476","BC05_85","Tumor"
"477","BC05_86","Tumor"
"478","BC05_87","Tumor"
"479","BC05_88","Tumor"
"480","BC05_90","Tumor"
"481","BC05_91","Tumor"
"482","BC05_92","Tumor"
"483","BC05_93","Tumor"
"484","BC05_94","Tumor"
"485","BC05_95","Tumor"
"486","BC05_96","Tumor"
"487","BC11_01","Tumor"
"488","BC11_04","Tumor"
"489","BC11_07","Tumor"
"490","BC11_28","Tumor"
"491","BC11_43","Tumor"
"492","BC11_56","Tumor"
"493","BC11_69","Tumor"
"494","BC11_70","Tumor"
"495","BC11_78","Tumor"
"496","BC11_81","Tumor"
"497","BC11_88","Tumor"
"498","BC06_04","Bcell"
"499","BC06_08","Stromal"
"500","BC06_10","Tumor"
"501","BC06_21","Bcell"
"502","BC06_23","Tumor"
"503","BC06_25","Bcell"
"504","BC06_26","Bcell"
"505","BC06_27","Tumor"
"506","BC06_28","Tumor"
"507","BC06_29","Bcell"
"508","BC06_32","Tumor"
"509","BC06_39","Tumor"
"510","BC06_40","Bcell"
"511","BC06_43","Stromal"
"512","BC06_58","Bcell"
"513","BC06_60","Tumor"
"514","BC06_61","Bcell"
"515","BC06_74","Tumor"
