"","cell","x","y","celltype"
"769","C769",3067.71,15079.07,"eL2_3"
"770","C770",3048.14,676.82,"HPC"
"771","C771",3064.71,11039.15,"eL4"
"772","C772",3075.13,790.31,"HPC"
"773","C773",3102.52,14005.21,"eL2_3"
"774","C774",3112,3664.33,"Reln"
"775","C775",3078.44,558.65,"HPC"
"776","C776",3085.31,5483.42,"Oligo"
"777","C777",3102.48,3258.54,"Oligo"
"778","C778",3114.7,6620.03,"eL6"
"779","C779",3089.98,11550.94,"eL2_3"
"780","C780",3163.69,11542.84,"eL4"
"781","C781",3156.26,4544.39,"Oligo"
"782","C782",3142.5,13352.77,"Astro"
"783","C783",3145.09,15016.77,"eL4"
"784","C784",3125.92,14754.55,"eL2_3"
"785","C785",3127.03,7922.51,"eL5"
"786","C786",3141.21,421.94,"HPC"
"787","C787",3165.85,4770.61,"Astro"
"788","C788",3127.94,9466.5,"Astro"
"789","C789",3160.39,3782.23,"Oligo"
"790","C790",3178.86,9016.38,"Oligo"
"791","C791",3140.47,10282.02,"eL4"
"792","C792",3172.95,50.88,"Micro"
"793","C793",3179.88,654.56,"HPC"
"794","C794",3191.65,5427.7,"eL6"
"795","C795",3161.32,10694.73,"eL4"
"796","C796",3217.69,12213.81,"Astro"
"797","C797",3161.93,4189.67,"Oligo"
"798","C798",3146.8,8081.77,"Astro"
"799","C799",3194.15,1516.18,"Micro"
"800","C800",3212.91,4904.3,"Oligo"
"801","C801",3202.73,6384.12,"eL6"
"802","C802",3188.44,14390.31,"Astro"
"803","C803",3218.98,889.15,"HPC"
"804","C804",3214.3,10400.04,"eL4"
"805","C805",3216.04,15270.85,"eL2_3"
"806","C806",3216.3,5234.78,"eL6"
"807","C807",3222.3,493.85,"HPC"
"808","C808",3232.04,2845.1,"Micro"
"809","C809",3225.44,5045.26,"Oligo"
"810","C810",3229.01,6724.72,"eL6"
"811","C811",3227.46,11903.41,"eL4"
"812","C812",3241.19,10539.12,"PVALB"
"813","C813",3243.9,11679.31,"eL4"
"814","C814",3237.5,734.59,"HPC"
"815","C815",3193.17,4301.1,"Oligo"
"816","C816",3242.94,12450.17,"Astro"
"817","C817",3256.37,8700.55,"Oligo"
"818","C818",3252.88,12777.11,"eL6"
"819","C819",3175.7,1061.89,"HPC"
"820","C820",3263.6,3068.95,"Oligo"
"821","C821",3264.34,11047.14,"eL4"
"822","C822",3280.02,13155.31,"eL2_3"
"823","C823",3273.4,13416,"eL2_3"
"824","C824",3265.21,14800.58,"eL2_3"
"825","C825",3272.43,8245.07,"eL5"
"826","C826",3274.36,16369.71,"Endo"
"827","C827",3238.3,9756.62,"Astro"
"828","C828",3285.42,6211.11,"eL6"
"829","C829",3301.15,560.56,"HPC"
"830","C830",3292.13,4299.59,"Oligo"
"831","C831",3316.8,15372.81,"eL2_3"
"832","C832",3295.98,14539.71,"Endo"
"833","C833",3317.94,3878.43,"Endo"
"834","C834",3323.83,5570.88,"eL6"
"835","C835",3318.55,12610.42,"Oligo"
"836","C836",3328.6,10280.82,"SST"
"837","C837",3338.11,14936.64,"eL2_3"
"838","C838",3339.54,753.92,"HPC"
"839","C839",3347.28,6436.33,"Micro"
"840","C840",3313.1,17140.01,"Smc"
"841","C841",3348.15,435.88,"HPC"
"842","C842",3375.07,4322.47,"Oligo"
"843","C843",3355.96,16136.16,"Astro"
"844","C844",3355.48,5230.13,"eL6"
"845","C845",3368.59,10858.82,"eL4"
"846","C846",3360.24,10507.01,"VIP"
"847","C847",3379.06,5726.76,"eL6"
"848","C848",3386.48,11348.89,"eL4"
"849","C849",3396.8,9574.67,"Micro"
"850","C850",3402.78,609.94,"HPC"
"851","C851",3404.69,12917.74,"eL2_3"
"852","C852",3436.56,16899.65,"Micro"
"853","C853",3401.51,16680.73,"Astro"
"854","C854",3424.15,1074.52,"HPC"
"855","C855",3411.4,16555.03,"Astro"
"856","C856",3407.64,2962.2,"eL5"
"857","C857",3442.68,10030.41,"Astro"
"858","C858",3475.78,8915.53,"eL5"
"859","C859",3452.27,13159.56,"eL2_3"
"860","C860",3495.13,4897.24,"Astro"
"861","C861",3460.86,12524.62,"eL4"
"862","C862",3463.41,13477,"eL2_3"
"863","C863",3475.25,761.15,"HPC"
"864","C864",3448.41,6529.69,"eL6"
"865","C865",3482.06,10304.34,"Astro"
"866","C866",3462.36,895.55,"HPC"
"867","C867",3498.62,6956.69,"eL6"
"868","C868",3499.65,11358.04,"Astro"
"869","C869",3490.29,6213.97,"eL6"
"870","C870",3542.5,7948.57,"SST"
"871","C871",3499.62,10936.75,"eL4"
"872","C872",3514.61,11665.85,"eL4"
"873","C873",3533.97,569.84,"HPC"
"874","C874",3541.2,9881.45,"eL6"
"875","C875",3541.95,14739.47,"eL2_3"
"876","C876",3536.62,3982.39,"Astro"
"877","C877",3548.17,12780.27,"eL4"
"878","C878",3559.72,5454.92,"eL6"
"879","C879",3514.6,6014.92,"Endo"
"880","C880",3541.3,7684.73,"Astro"
"881","C881",3572.64,10647.8,"eL4"
"882","C882",3535.19,11214.7,"Astro"
"883","C883",3541.82,14022.95,"eL2_3"
"884","C884",3539.75,15375.3,"eL2_3"
"885","C885",3550.81,3361.45,"Oligo"
"886","C886",3572.52,5868.73,"eL6"
"887","C887",3569.7,9551.61,"Astro"
"888","C888",3567.83,993.09,"HPC"
"889","C889",3583.81,6523.13,"Oligo"
"890","C890",3574.35,14374.58,"eL4"
"891","C891",3617.06,4076.63,"Oligo"
"892","C892",3577.54,6658.42,"eL6"
"893","C893",3578.32,1285.95,"Astro"
"894","C894",3593.13,1633.25,"HPC"
"895","C895",3603.08,10357.83,"Astro"
"896","C896",3612.13,12087.05,"eL4"
"897","C897",3603.29,13505.3,"eL2_3"
"898","C898",3595.56,14170.47,"Astro"
"899","C899",3624.41,1134.71,"Endo"
"900","C900",3623.78,5243.01,"eL6"
"901","C901",3609.89,6256.39,"eL6"
"902","C902",3600.02,706.62,"HPC"
"903","C903",3595.01,11925.45,"eL2_3"
"904","C904",3648.25,15385.34,"eL4"
"905","C905",3649.13,6064.62,"Endo"
"906","C906",3633.08,11298.39,"eL4"
"907","C907",3616.37,3092.53,"SST"
"908","C908",3649.36,6368.94,"eL6"
"909","C909",3635.97,13407.15,"Micro"
"910","C910",3647.16,833.17,"HPC"
"911","C911",3666.52,7271.06,"eL6"
"912","C912",3649.96,11539.39,"Oligo"
"913","C913",3652.86,11675.86,"eL4"
"914","C914",3664.43,13628.16,"eL2_3"
"915","C915",3664.62,14303.25,"eL2_3"
"916","C916",3654.6,4287.04,"Oligo"
"917","C917",3662.34,13163.04,"eL2_3"
